agent_p1,agent_p2,return_p1,return_p2,error
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
az,firstopen,-1.0,1.0,
firstopen,az,-1.0,1.0,
