agent_p1,agent_p2,return_p1,return_p2,error
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,-1.0,1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
az,mcts,-1.0,1.0,
mcts,az,1.0,-1.0,
