agent_p1,agent_p2,return_p1,return_p2,error
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,1.0,-1.0,
alphazero,random,-1.0,1.0,
random,alphazero,1.0,-1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,1.0,-1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,-1.0,1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,-1.0,1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,-1.0,1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,1.0,-1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,-1.0,1.0,
alphazero,random,1.0,-1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,-1.0,1.0,
alphazero,random,-1.0,1.0,
random,alphazero,1.0,-1.0,
alphazero,random,1.0,-1.0,
random,alphazero,1.0,-1.0,
