agent_p1,agent_p2,return_p1,return_p2,error
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,-1.0,1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,-1.0,1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,-1.0,1.0,
firstopen,mcts,1.0,-1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,-1.0,1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,1.0,-1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
firstopen,mcts,-1.0,1.0,
mcts,firstopen,1.0,-1.0,
