agent_p1,agent_p2,return_p1,return_p2,error
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
mcts,random,1.0,-1.0,
random,mcts,-1.0,1.0,
