agent_p1,agent_p2,return_p1,return_p2,error
firstopen,random,-1.0,1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,-1.0,1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,-1.0,1.0,
random,firstopen,1.0,-1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,-1.0,1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
firstopen,random,1.0,-1.0,
random,firstopen,-1.0,1.0,
firstopen,random,-1.0,1.0,
random,firstopen,-1.0,1.0,
firstopen,random,1.0,-1.0,
random,firstopen,1.0,-1.0,
